country_code,iso_category_id,iso_category_name,iso_region_amount,number_gadm_regions,number_ne_regions
AND,262,parish,7,7,7
ARE,199,emirate,7,7,9
AFG,321,province,34,34,34
ATG,298,dependency,2,8,8
ATG,429,parish,6,,
ALB,322,county,12,12,12
ARM,106,region,10,11,11
ARM,189,city,1,,
AGO,155,province,18,18,18
ARG,107,province,23,24,24
ARG,182,city,1,,
AUT,392,state,9,9,9
AUS,324,territory,2,11,11
AUS,393,state,6,,
AZE,108,municipality,11,10,78
AZE,325,rayon,66,,
AZE,357,autonomous republic,1,,
BIH,237,entity,2,3,18
BIH,438,district with special status,1,,
BRB,430,parish,11,11,11
BGD,149,district,64,7,7
BGD,274,division,8,,
BEL,390,province,10,3,11
BEL,391,region,3,,
BFA,192,region,13,13,45
BFA,235,province,45,,
BGR,361,district,28,28,28
BHR,338,governorate,4,5,5
BDI,275,province,18,17,17
BEN,276,department,12,12,12
BRN,362,district,4,4,4
BOL,231,department,9,9,9
BES,272,special municipality,3,3,
BRA,193,state,26,27,27
BRA,403,federal district,1,,
BHS,100,district,31,32,30
BHS,474,island,1,,
BTN,152,district,20,20,20
BWA,277,district,10,16,15
BWA,447,town,4,,
BWA,448,city,2,,
BLR,102,city,1,6,7
BLR,411,oblast,6,,
BLZ,297,district,6,6,6
CAN,233,territory,3,13,13
CAN,412,province,10,,
COD,278,province,25,26,11
COD,404,city,1,,
CAF,194,economic prefecture,2,17,17
CAF,339,prefecture,14,,
CAF,446,commune,1,,
COG,279,department,12,12,12
CHE,153,canton,26,26,26
CIV,460,autonomous district,2,14,19
CIV,461,district,12,,
CHL,364,region,16,16,16
CMR,130,region,10,10,10
CHN,103,province,23,31,32
CHN,195,autonomous region,5,,
CHN,268,special administrative region,2,,
CHN,397,municipality,4,,
COL,104,department,32,32,34
COL,143,capital district,1,,
CRI,318,province,7,7,7
CUB,365,province,15,16,16
CUB,441,special municipality,1,,
CPV,196,municipality,22,22,22
CPV,313,geographical region,2,,
CYP,266,district,6,5,5
CZE,154,region,13,14,14
CZE,197,district,76,,
CZE,465,capital city,1,,
DEU,198,Land,16,16,16
DJI,218,region,5,5,6
DJI,401,city,1,,
DNK,319,region,5,5,5
DMA,219,parish,10,10,10
DOM,105,province,31,32,32
DOM,183,district,1,,
DOM,449,region,10,,
DZA,366,province,58,48,48
ECU,320,province,24,24,24
EST,407,county,15,16,15
EST,483,urban municipality,15,,
EST,484,rural municipality,64,,
EGY,316,governorate,27,27,27
ERI,317,region,6,6,6
ESP,101,autonomous community,17,18,52
ESP,180,autonomous city in North Africa,2,,
ESP,408,province,50,,
ETH,363,regional state,11,11,11
ETH,409,administration,2,,
FIN,150,region,19,5,18
FJI,353,dependency,1,5,5
FJI,410,division,4,,
FJI,450,province,14,,
FSM,181,state,4,4,4
FRA,151,metropolitan department,95,13,101
FRA,240,metropolitan region,12,,
FRA,305,dependency,1,,
FRA,368,overseas collectivity,5,,
FRA,475,metropolitan collectivity with special status,3,,
FRA,489,overseas collectivity with special status,1,,
FRA,490,overseas territory,1,,
FRA,493,European collectivity,1,,
FRA,494,overseas unique territorial collectivity,2,,
FRA,495,overseas departmental collectivity,3,,
GAB,394,province,9,9,9
GBR,112,council area,32,4,232
GBR,113,two-tier county,25,,
GBR,283,district,11,,
GBR,284,unitary authority,80,,
GBR,369,metropolitan district,36,,
GBR,370,London borough,32,,
GBR,402,city corporation,1,,
GBR,491,country,3,,
GBR,492,province,1,,
GRD,242,parish,6,7,7
GRD,351,dependency,1,,
GEO,201,region,9,12,12
GEO,299,autonomous republic,2,,
GEO,314,city,1,,
GHA,114,region,16,10,10
GRL,243,municipality,5,5,6
GMB,225,division,5,6,6
GMB,442,city,1,,
GIN,184,governorate,1,8,34
GIN,346,administrative region,7,,
GIN,415,prefecture,33,,
GNQ,244,province,8,7,7
GNQ,300,region,2,,
